元の城名,URL,城名,別名,築城年,城主,場所,Latitude,Longitude
水晶城,https://gosenzo.net/yamajiro/2022/01/22/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%b0%b4%e6%99%b6%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e4%bd%90%e4%bc%af%e5%8c%ba%e4%ba%94%e6%97%a5%e5%b8%82%e7%94%ba%e5%a4%a7%e5%ad%97%e7%9f%b3/,水晶城,石道本堂,源平合戦時に源氏方の佐々木国正が城にいたとされる。,佐々木国正、麻生右衛門、杉甲斐守、麻生鎮里、小幡氏,広島県広島市佐伯区五日市町大字石内,34.416331,132.376349
有井城,https://gosenzo.net/yamajiro/2022/01/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9c%89%e4%ba%95%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e4%bd%90%e4%bc%af%e5%8c%ba%e7%9f%b3%e5%86%85%e5%8d%97%e3%80%91/,有井城,無し,南北朝時代,有井三郎左衛門尉、山県備前,広島県広島市佐伯区石内南,34.412938,132.382568
池田城,https://gosenzo.net/yamajiro/2022/01/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%b1%a0%e7%94%b0%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e4%bd%90%e4%bc%af%e5%8c%ba%e5%9f%8e%e5%b1%b1%e3%80%91/,池田城,無し,室町時代,池田氏？高木氏,広島県広島市佐伯区城山,34.386497,132.355145
銀山城,https://gosenzo.net/yamajiro/2022/01/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%8a%80%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8d%97%e5%8c%ba%e7%a5%87%e5%9c%92%e7%94%ba%e3%80%91/,銀山城,金山城,鎌倉時代,武田氏、後に大内氏城代、毛利氏城代などが城に入る。,広島県広島市安佐南区祇園町(武田山),34.455998,132.448479
木の宗山城,https://gosenzo.net/yamajiro/2022/01/29/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9c%a8%e3%81%ae%e5%ae%97%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e4%b8%8a%e6%b7%b1%e5%b7%9d%e7%94%ba/,木の宗山城,無し,不明,"奥西仲綱,吉川興経",広島県広島市安佐北区上深川町,34.462972,132.547189
戸石城,https://gosenzo.net/yamajiro/2022/01/29/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%88%b8%e7%9f%b3%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e7%99%bd%e6%9c%a8%e7%94%ba%e5%a4%a7%e5%ad%97%e4%ba%95/,戸石城,無し,戦国時代か,油面多郎左衛門（鍋谷城城主井原氏の家老）,広島県広島市安佐北区白木町大字井原,34.589904,132.675980
日詰城,https://gosenzo.net/yamajiro/2022/01/29/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%97%a5%e8%a9%b0%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e7%99%bd%e6%9c%a8%e7%94%ba%e5%a4%a7%e5%ad%97%e4%ba%95/,日詰城,"樋爪城,樋詰城",不明,樋爪氏,広島県広島市安佐北区白木町大字井原,34.588980,132.672328
北田城,https://gosenzo.net/yamajiro/2022/01/29/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8c%97%e7%94%b0%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e7%99%bd%e6%9c%a8%e7%94%ba%e5%a4%a7%e5%ad%97%e4%ba%95/,北田城,無し,不明,不明（井原氏関係の城か）,広島県広島市安佐北区白木町大字井原,34.584967,132.682498
鍋谷城,https://gosenzo.net/yamajiro/2022/01/29/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%8d%8b%e8%b0%b7%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e7%99%bd%e6%9c%a8%e7%94%ba%e5%a4%a7%e5%ad%97%e4%ba%95/,鍋谷城,鍋谷山城,不明,井原氏,広島県広島市安佐北区白木町大字井原,34.569002,132.677780
星ヶ城,https://gosenzo.net/yamajiro/2022/01/29/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%98%9f%e3%83%b6%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e7%99%bd%e6%9c%a8%e7%94%ba%e5%a4%a7%e5%ad%97%e5%b8%82/,星ヶ城,無し,不明,井上元兼、市川経好とされている。,広島県広島市安佐北区白木町大字市川,34.560628,132.666139
木舟山城（仮称）,https://gosenzo.net/yamajiro/2022/01/29/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9c%a8%e8%88%b9%e5%b1%b1%e5%9f%8e%ef%bc%88%e4%bb%ae%e7%a7%b0%ef%bc%89%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e7%99%bd/,木舟山城（仮称）,無し,不明,市川氏か,広島県広島市安佐北区白木町大字市川,34.562987,132.656666
志道城,https://gosenzo.net/yamajiro/2022/01/30/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%bf%97%e9%81%93%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e7%99%bd%e6%9c%a8%e7%94%ba%e5%a4%a7%e5%ad%97%e5%bf%97/,志道城,志路城,不明,志道氏,広島県広島市安佐北区白木町大字志路,34.585247,132.626481
萩原城,https://gosenzo.net/yamajiro/2022/01/30/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e8%90%a9%e5%8e%9f%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e7%99%bd%e6%9c%a8%e7%94%ba%e4%b8%89%e7%94%b0%e3%80%91/,萩原城,萩原山城,不明,三田氏,広島県広島市安佐北区白木町三田,34.524587,132.634583
古川城,https://gosenzo.net/yamajiro/2022/01/30/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8f%a4%e5%b7%9d%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e7%99%bd%e6%9c%a8%e7%94%ba%e4%b8%89%e7%94%b0%e3%80%91/,古川城,七郎城,50ｍ,三田氏,広島県広島市安佐北区白木町三田,34.519098,132.623421
三田新城,https://gosenzo.net/yamajiro/2022/01/30/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%89%e7%94%b0%e6%96%b0%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e7%99%bd%e6%9c%a8%e7%94%ba%e4%b8%89%e7%94%b0/,三田新城,無し,戦国時代,三田氏,広島県広島市安佐北区白木町三田,34.524230,132.622206
藤加勢城,https://gosenzo.net/yamajiro/2022/01/30/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e8%97%a4%e5%8a%a0%e5%8b%a2%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e7%99%bd%e6%9c%a8%e7%94%ba%e7%a7%8b%e5%b1%b1/,藤加勢城,兵部少輔　小輔五郎　九郎兵衛,不明,秋山氏,広島県広島市安佐北区白木町秋山,34.545269,132.667914
朝日山城,https://gosenzo.net/yamajiro/2022/01/30/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%97%ad%e6%97%a5%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e7%99%bd%e6%9c%a8%e7%94%ba%e7%a7%8b%e5%b1%b1/,旭日山城,兵部少輔　小輔五郎　九郎兵衛,不明,秋山兵衛,広島県広島市安佐北区白木町秋山,34.543766,132.654484
八木城,https://gosenzo.net/yamajiro/2022/01/30/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%85%ab%e6%9c%a8%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8d%97%e5%8c%ba%e5%85%ab%e6%9c%a8%e3%80%91/,八木城,無し,貞応元年（1222）,香川氏,広島県広島市安佐南区八木,34.482125,132.502903
七曲城,https://gosenzo.net/yamajiro/2022/06/25/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%83%e6%9b%b2%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e4%b8%8a%e6%b7%b1%e5%b7%9d%e7%94%ba%e3%80%91/,七曲城,無し,不明,不明,広島県広島市安佐北区上深川町,34.478323,132.557554
琴平山城,https://gosenzo.net/yamajiro/2022/06/25/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%90%b4%e5%b9%b3%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e7%8b%a9%e7%95%99%e5%ae%b6%e7%94%ba%e3%80%91/,琴平山城,古城,不明,不明,広島県広島市安佐北区狩留家町,34.483091,132.580128
麦田八幡宮,https://gosenzo.net/yamajiro/2022/10/22/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%ba%a6%e7%94%b0%e5%85%ab%e5%b9%a1%e7%a5%9e%e7%a4%be%ef%bc%88%e9%8a%80%e5%b1%b1%e5%9f%8e%e3%81%ae%e5%87%ba%e5%9f%8e%ef%bc%9f%ef%bc%89%e3%80%90%e5%ba%83/,麦田八幡神社（銀山城の出城？）,無し,1540年頃か,麦田氏,広島県広島市安佐南区大町,34.464953,132.463786
南御所跡,https://gosenzo.net/yamajiro/2023/01/09/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8d%97%e5%be%a1%e6%89%80%e8%b7%a1%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8d%97%e5%8c%ba%e7%a5%87%e5%9c%924%e4%b8%81%e7%9b%ae%e3%80%91/,南御所跡,無し,不明だが承久3年（1221）に武田氏が下向して銀山の麓に守護所を建てたとある。,武田氏,広島県広島市安佐南区祇園4丁目,34.442333,132.456339
長楽寺,https://gosenzo.net/yamajiro/2023/01/09/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%95%b7%e6%a5%bd%e5%af%ba%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8d%97%e5%8c%ba%e9%95%b7%e6%a5%bd%e5%af%ba%e3%80%91%e6%ad%a6/,長楽寺跡（城ではない）,無し,905年に寺は開基、1283年に武田氏が祈願所として定める。,城主ではないが大檀那は武田氏だと思われる。,広島県広島市安佐南区長楽寺,34.472133,132.429853
尾首城,https://gosenzo.net/yamajiro/2023/02/18/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b0%be%e9%a6%96%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8d%97%e5%8c%ba%e7%a5%87%e5%9c%92%e3%80%91/,尾首城,無し,不明,武田氏の出城か,広島県広島市安佐南区祇園,34.451794,132.459448
尾越城,https://gosenzo.net/yamajiro/2023/02/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b0%be%e8%b6%8a%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8d%97%e5%8c%ba%e7%9b%b8%e7%94%b0%e3%80%91/,尾越城,無し,不明,不明（武田氏の出城か）,広島県広島市安佐南区相田,34.469979,132.443516
国重城,https://gosenzo.net/yamajiro/2023/02/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%9b%bd%e9%87%8d%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8d%97%e5%8c%ba%e4%bc%b4%e6%9d%b1%e3%80%91/,国重城,無し,15世紀後半か。,国重氏,広島県広島市安佐南区伴東,34.465158,132.420206
岸城,https://gosenzo.net/yamajiro/2023/02/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b2%b8%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8d%97%e5%8c%ba%e6%b2%bc%e7%94%b0%e7%94%ba%e5%a4%a7%e5%a1%9a%e3%80%91/,岸城,無し,不明,大塚四郎兵衛義清,広島県広島市安佐南区沼田町大塚,34.441861,132.399936
西城,https://gosenzo.net/yamajiro/2023/02/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e8%a5%bf%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8d%97%e5%8c%ba%e6%b2%bc%e7%94%b0%e7%94%ba%e3%80%91/,西城,西が城,不明,不明,広島県広島市安佐南区沼田町～佐伯区五日市町石内,34.439961,132.387090
三角城,https://gosenzo.net/yamajiro/2023/03/14/%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%90%e5%b7%9d%e8%a7%92%e5%9f%8e%e3%80%91%e5%ba%83%e5%b3%b6%e5%b8%82%e4%bd%90%e4%bc%af%e5%8c%ba%e6%b9%af%e6%9d%a5%e7%94%ba%e5%a4%a7%e5%ad%97%e7%99%bd%e7%a0%82/,川角城（かわかどじょう）,無し,不明,不明,広島県広島市佐伯区湯来町大字白砂（河内神社内）,34.433370,132.289133
院内城,https://gosenzo.net/yamajiro/2023/03/14/%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%90%e9%99%a2%e5%86%85%e5%9f%8e%e3%80%91%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e6%b7%b1%e5%b7%9d%e7%94%ba/,院内城,牛尾城、牛尾古城,不明,牛尾幸清,広島県広島市安佐北区深川町,34.485271,132.540400
楢原城,https://gosenzo.net/yamajiro/2023/03/14/%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%90%e6%a5%a2%e5%8e%9f%e5%9f%8e%e3%80%91%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e4%b8%8a%e6%b7%b1%e5%b7%9d/,楢原城,無し,不明,楢原備中,広島市安佐北区上深川,34.481266,132.548752
亀崎城,https://gosenzo.net/yamajiro/2023/03/26/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%ba%80%e5%b4%8e%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e4%ba%80%e5%b4%8e%e3%80%91/,亀崎城,亀嵜城,室町後期から戦国時代,井尻氏,広島県広島市安佐北区亀崎4丁目(亀崎中学校),34.484926,132.528003
尾和城,https://gosenzo.net/yamajiro/2023/03/26/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b0%be%e5%92%8c%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e6%b7%b1%e5%b7%9d%e7%94%ba%e3%80%91/,尾和城,尾和宮首城,戦国時代か,尾和左衛門,広島県広島市安佐北区深川町,34.495235,132.523296
天主の段,https://gosenzo.net/yamajiro/2023/04/02/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%a4%a9%e4%b8%bb%e3%81%ae%e6%ae%b5%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e7%99%bd%e6%9c%a8%e7%94%ba%e4%b8%89%e7%94%b0/,天主の段,無し,不明,不明,広島県広島市安佐北区白木町三田,34.512187,132.583628
五庵城,https://gosenzo.net/yamajiro/2023/04/02/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%ba%94%e5%ba%b5%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e7%99%bd%e6%9c%a8%e7%94%ba%e4%b8%89%e7%94%b0%e3%80%91/,五庵城,茶臼ヶ城,不明,福永左京,広島県広島市安佐北区白木町三田,34.497807,132.580231
幟城,https://gosenzo.net/yamajiro/2024/01/07/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b9%9f%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8d%97%e5%8c%ba%e6%b2%bc%e7%94%b0%e7%94%ba%e4%bc%b4%e3%80%91/,幟城,無し,不明,不明（伴氏の関連か）,広島県広島市安佐南区沼田町大字伴,34.459872,132.365560
岳城,https://gosenzo.net/yamajiro/2024/01/12/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b2%b3%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8d%97%e5%8c%ba%e6%b2%bc%e7%94%b0%e7%94%ba%e9%98%bf%e6%88%b8/,岳城,多計城、嶽城、嶽山古城,不明,武田弾正,広島県広島市安佐南区沼田町阿戸,34.490692,132.385417
東殿山城,https://gosenzo.net/yamajiro/2024/01/12/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9d%b1%e6%ae%bf%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%ae%89%e4%bd%90%e7%94%ba%e9%88%b4%e5%bc%b5/,東殿山城,東藤山城,不明,横山民部,広島県広島市安佐北区安佐町鈴張,34.581877,132.463341
久保城,https://gosenzo.net/yamajiro/2024/01/13/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b9%85%e4%bf%9d%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%8f%af%e9%83%a8%e7%94%ba%e5%8b%9d%e6%9c%a8%e3%80%91/,久保城,無し,不明,山中佐渡,広島県広島市安佐北区可部町勝木,34.539140,132.466012
尾首城,https://gosenzo.net/yamajiro/2024/01/13/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b0%be%e9%a6%96%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%8f%af%e9%83%a8%e7%94%ba%e5%8b%9d%e6%9c%a8%e3%80%91/,尾首城,無し,不明,松浦甚吾左衛門,広島県広島市安佐北区可部町勝木,34.531065,132.465834
神宮寺山城,https://gosenzo.net/yamajiro/2024/01/13/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%a5%9e%e5%ae%ae%e5%af%ba%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%8f%af%e9%83%a8%e7%94%ba%e4%bb%8a/,神宮寺山城,無し,不明,小賀源六,広島県広島市安佐北区可部町今井田,34.514806,132.486571
行者山城,https://gosenzo.net/yamajiro/2024/01/13/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e8%a1%8c%e8%80%85%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e8%a5%bf%e5%8c%ba%e7%94%b0%e6%96%b91%e4%b8%81%e7%9b%ae%e3%80%91/,行者山城,無し,不明,不明,広島県広島市西区田方1丁目,34.385747,132.401517
三遍山城,https://gosenzo.net/yamajiro/2024/01/14/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%89%e9%81%8d%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%8f%af%e9%83%a8%e7%94%ba%e5%a4%a7%e6%9e%97/,三遍山城,二遍山城,不明,不明（熊谷氏家臣）,広島県安佐北区可部町大林,34.544771,132.538595
王子城,https://gosenzo.net/yamajiro/2024/01/14/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%8e%8b%e5%ad%90%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%8f%af%e9%83%a8%e7%94%ba%e4%b8%8b%e7%94%ba%e5%b1%8b/,王子城,無し,不明,池田太郎兵衛か,広島県広島市安佐北区可部町下町屋,34.541901,132.539597
小田狐城,https://gosenzo.net/yamajiro/2024/01/14/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b0%8f%e7%94%b0%e7%8b%90%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%8f%a3%e7%94%b0%e5%8d%973%e4%b8%81%e7%9b%ae/,小田狐城,無し,不明,不明,広島県広島市安佐北区口田南3丁目,34.445973,132.495398
田原城２,https://gosenzo.net/yamajiro/2024/01/14/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%94%b0%e5%8e%9f%e5%9f%8e%ef%bc%92%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e6%9d%b1%e5%8c%ba%e6%88%b8%e5%9d%82%e6%96%b0%e7%94%ba%ef%bd%9e%e6%b8%a9%e5%93%81/,田原城２,無し,不明,不明,広島県広島市東区戸坂新町～温品町,34.433200,132.505488
屋太山城,https://gosenzo.net/yamajiro/2024/01/14/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b1%8b%e5%a4%aa%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e6%9d%b1%e5%8c%ba%e6%b8%a9%e5%93%81%e7%94%ba%e3%80%91/,屋太山城,矢田城,不明,不明,広島県広島市東区温品町,34.415811,132.508138
熊谷氏土居屋敷跡,https://gosenzo.net/yamajiro/2024/01/14/%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%8f%af%e9%83%a8%e7%94%ba%e4%b8%89%e5%85%a5%e4%b8%80%e4%b8%81%e7%9b%ae/,熊谷氏土居屋敷跡,無し,16世紀前半か。,熊谷氏,広島県広島市安佐北区可部町三入一丁目,34.532399,132.521436
妣摺城,https://gosenzo.net/yamajiro/2024/02/03/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%a6%a3%e6%91%ba%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e8%8a%b8%e5%8c%ba%e7%9f%a2%e9%87%8e%e6%9d%b14%e4%b8%81%e7%9b%ae%e3%80%91/,妣摺城（ひずりじょう）,無し,不明,野間氏に関連した人物か,広島県広島市安芸区矢野東4丁目,34.352538,132.543082
鳥越山城,https://gosenzo.net/yamajiro/2024/02/04/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%b3%a5%e8%b6%8a%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e8%8a%b8%e5%8c%ba%e4%b8%ad%e9%87%8e%e6%9d%b1%e3%80%91/,鳥越山城,無し,不明,阿曽沼氏縁の人物か,広島県広島市安芸区中野東,34.386715,132.566599
地蔵堂山城,https://gosenzo.net/yamajiro/2024/02/04/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%9c%b0%e8%94%b5%e5%a0%82%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e8%90%bd%e5%90%883%e4%b8%81%e7%9b%ae/,地蔵堂山城,地蔵堂山古城跡,不明　戦国時代か,久村玄番允,広島県広島市安佐北区落合3丁目,34.476798,132.509966
山手城,https://gosenzo.net/yamajiro/2024/02/04/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b1%b1%e6%89%8b%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e8%90%bd%e5%90%883%e4%b8%81%e7%9b%ae%e3%80%91/,山手城,無し,不明,曽川氏（高陽町史）,広島県広島市安佐北区落合3丁目,34.477136,132.513118
諸木城,https://gosenzo.net/yamajiro/2024/02/04/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e8%ab%b8%e6%9c%a8%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e8%90%bd%e5%90%886%e4%b8%81%e7%9b%ae%e3%80%91/,諸木城,無し,不明　戦国時代か,不明,広島県広島市安佐北区落合6丁目,34.480410,132.518944
深川狐ヶ城,https://gosenzo.net/yamajiro/2024/02/04/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%b7%b1%e5%b7%9d%e7%8b%90%e3%83%b6%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e4%ba%80%e5%b4%8e2%e4%b8%81%e7%9b%ae/,深川狐ヶ城,無し,不明　戦国時代か,不明,広島県広島市安佐北区亀崎2丁目,34.487442,132.520178
